train/learning_rate,train/value_loss,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,eval/mean_reward,eval/mean_ep_length
0.0003,0.0003455727710388601,847,5.624191949999999,-0.000964223057962954,20499,19.57,120,0.8495226055383682,1.3206120001996169e-06,102500,20500,,
0.0003,0.00023999219411052763,847,5.628685109999999,-0.0009467813069932163,20599,19.74,121,0.9448558129370213,-1.1047469570257817e-06,103000,20600,,
0.0003,7.338645809795707e-05,848,5.62012706,-0.0009550660033710301,20699,19.5,122,0.8700785636901855,-1.250919439144127e-07,103500,20700,,
0.0003,4.541752423392609e-05,847,5.62687417,-0.0009487940114922822,20799,19.7,122,0.9913908038288355,-5.001213594368892e-07,104000,20800,,
0.0003,4.563800393952988e-05,847,5.626565510000001,-0.0009637770126573741,20899,19.72,123,0.8639912009239197,6.827157505995274e-08,104500,20900,,
0.0003,0.00011810338037321344,,,-0.0009417325491085649,20999,,,0.8761590495705605,2.2151883172227826e-07,105000,,5.5890462,18.2
,,847,5.61713542,,,19.28,123,,,105000,21000,,
0.0003,0.00030387527658604085,847,5.61910345,-0.0011628280626609921,21099,19.33,124,0.6969171762466431,-1.3939741165813757e-06,105500,21100,,
0.0003,0.0004286689800210297,847,5.604086679999999,-0.0011343795340508223,21199,18.84,125,0.9080828800797462,1.7848891502580955e-06,106000,21200,,
0.0003,0.00040932768024504185,847,5.6066552100000004,-0.0011348408879712224,21299,18.87,125,-3.2373180389404297,3.765654241760785e-07,106500,21300,,
0.0003,0.00011570213973755017,847,5.6138245300000005,-0.0011976964306086302,21399,19.05,126,0.9278982505202293,8.723645805730484e-07,107000,21400,,
0.0003,9.491285891272128e-05,847,5.61428372,-0.001158510916866362,21499,19.06,126,0.8500614315271378,4.3615017375486786e-07,107500,21500,,
0.0003,0.0009177316096611321,847,5.62316996,-0.0011818312341347337,21599,19.27,127,0.9876631237566471,2.7044268335885135e-06,108000,21600,,
0.0003,7.279020792338997e-05,847,5.61068403,-0.0012218866031616926,21699,18.92,127,0.9971674985717982,4.485029307943478e-07,108500,21700,,
0.0003,0.006194529589265585,848,5.614526549999999,-0.0011507432209327817,21799,19.09,128,0.6123338043689728,-5.494231118063908e-06,109000,21800,,
0.0003,6.617510371142998e-05,847,5.61986862,-0.0011675495188683271,21899,19.22,129,0.8933799937367439,-4.170781835455273e-07,109500,21900,,
0.0003,0.000131673994474113,,,-0.0011430078884586692,21999,,,0.8033795356750488,3.876035350458551e-07,110000,,5.502218,15.8
,,847,5.62174906,,,19.38,129,,,110000,22000,,
0.0003,5.200764280743897e-05,848,5.631358199999999,-0.0011483246926218271,22099,19.67,130,0.9315963014960289,3.906784513674211e-07,110500,22100,,
0.0003,0.0004056466859765351,848,5.625052680000001,-0.0011910964967682958,22199,19.61,130,0.9840004555881023,1.1276181339781033e-06,111000,22200,,
0.0003,0.0002643556799739599,848,5.62613328,-0.0011889375746250153,22299,19.6,131,-0.47990989685058594,3.7815328823853633e-07,111500,22300,,
0.0003,0.0005192217649891973,848,5.6242977399999985,-0.0011656335555016994,22399,19.57,131,0.9762397836893797,1.4066363291931339e-06,112000,22400,,
0.0003,0.0004671438946388662,848,5.62614217,-0.0011667672079056501,22499,19.63,132,0.9023216068744659,-1.9475805856927764e-06,112500,22500,,
0.0003,0.00037355933454819024,848,5.62981232,-0.0011267040390521288,22599,19.74,133,0.8144450932741165,-1.2566802070068661e-06,113000,22600,,
0.0003,0.0005535224918276072,848,5.62052538,-0.0011585928732529283,22699,19.45,133,0.8122778683900833,2.0463662622205447e-06,113500,22700,,
0.0003,0.0007700767018832266,849,5.61477264,-0.0011284106876701117,22799,19.32,134,0.8577693998813629,-2.3974648684088606e-06,114000,22800,,
0.0003,5.568337655859068e-05,849,5.61237573,-0.0011463795090094209,22899,19.16,134,0.824558824300766,-5.5166900381209416e-08,114500,22900,,
0.0003,7.427330274367705e-05,,,-0.0011084101861342788,22999,,,0.9089591726660728,-5.270757128528203e-07,115000,,5.6268674,18.6
,,848,5.613570840000001,,,19.19,135,,,115000,23000,,
0.0003,0.00023450290609616786,848,5.605124900000002,-0.001154859783127904,23099,18.98,136,0.975220900028944,-2.847061182364996e-07,115500,23100,,
0.0003,0.0014061860274523497,849,5.60669546,-0.0011792725417762995,23199,19.08,136,0.9660316444933414,-9.046940476764576e-07,116000,23200,,
0.0003,0.0011192653328180313,849,5.61326321,-0.0011501945555210114,23299,19.4,137,-0.5631198883056641,2.68736039288342e-06,116500,23300,,
0.0003,0.0007397813023999333,849,5.615359509999999,-0.001186658046208322,23399,19.44,137,0.9902764791622758,-2.3163979676610325e-06,117000,23400,,
0.0003,0.0020096800290048122,849,5.6256572899999995,-0.0011248348746448755,23499,19.7,138,0.8886858373880386,-4.147471827309346e-06,117500,23500,,
